model,dataset_id,start_ts_utc,end_ts_utc,duration_seconds
LLM Google Gemini-3.5 Flash-plain,32,2026-06-05T14:57:03.684184+00:00,2026-06-05T14:58:15.005315+00:00,71.321
LLM Google Gemini-3.5 Flash-plain,33,2026-06-05T14:58:15.005315+00:00,2026-06-05T14:59:52.176031+00:00,97.171
LLM Google Gemini-3.5 Flash-plain,34,2026-06-05T14:59:52.176031+00:00,2026-06-05T15:01:13.175992+00:00,81.000
LLM Google Gemini-3.5 Flash-plain,35,2026-06-05T15:01:13.175992+00:00,2026-06-05T15:02:18.641211+00:00,65.465
LLM Google Gemini-3.5 Flash-plain,36,2026-06-05T15:02:18.641211+00:00,2026-06-05T15:03:31.847856+00:00,73.207
LLM Google Gemini-3.5 Flash-plain,37,2026-06-05T15:03:31.847856+00:00,2026-06-05T15:04:35.424645+00:00,63.577
LLM Google Gemini-3.5 Flash-plain,38,2026-06-05T15:04:35.424645+00:00,2026-06-05T15:05:51.194715+00:00,75.770
LLM Google Gemini-3.5 Flash-plain,39,2026-06-05T15:05:51.194715+00:00,2026-06-05T15:06:58.676005+00:00,67.481
LLM Google Gemini-3.5 Flash-plain,40,2026-06-05T15:06:58.676005+00:00,2026-06-05T15:08:02.752959+00:00,64.077
LLM Google Gemini-3.5 Flash-plain,41,2026-06-05T15:08:02.752959+00:00,2026-06-05T15:09:11.340178+00:00,68.587
LLM Google Gemini-3.5 Flash-plain,42,2026-06-05T15:09:11.340178+00:00,2026-06-05T15:10:16.418896+00:00,65.079
LLM Google Gemini-3.5 Flash-plain,43,2026-06-05T15:10:16.418896+00:00,2026-06-05T18:15:23.975801+00:00,11107.557
LLM Google Gemini-3.5 Flash-plain,44,2026-06-05T18:15:23.975801+00:00,2026-06-05T18:19:41.304178+00:00,257.328
LLM Google Gemini-3.5 Flash-plain,45,2026-06-05T18:19:41.304178+00:00,2026-06-05T18:20:49.531545+00:00,68.227
LLM Google Gemini-3.5 Flash-plain,46,2026-06-05T18:20:49.531545+00:00,2026-06-05T18:21:57.026653+00:00,67.495
LLM Google Gemini-3.5 Flash-plain,47,2026-06-05T18:21:57.026653+00:00,2026-06-05T18:23:04.774132+00:00,67.747
LLM Google Gemini-3.5 Flash-plain,48,2026-06-05T18:23:04.774132+00:00,2026-06-05T18:24:21.776267+00:00,77.002
LLM Google Gemini-3.5 Flash-plain,49,2026-06-05T18:24:21.776267+00:00,2026-06-05T18:25:28.234979+00:00,66.459
LLM Google Gemini-3.5 Flash-plain,50,2026-06-05T18:25:28.234979+00:00,2026-06-05T18:26:32.854434+00:00,64.619
LLM Google Gemini-3.5 Flash-plain,51,2026-06-05T18:26:32.854434+00:00,2026-06-05T18:27:34.701834+00:00,61.847
LLM Google Gemini-3.5 Flash-plain,52,2026-06-05T18:27:34.701834+00:00,2026-06-05T18:28:50.903491+00:00,76.202
LLM Google Gemini-3.5 Flash-plain,53,2026-06-05T18:28:50.903491+00:00,2026-06-05T18:30:05.436127+00:00,74.533
LLM Google Gemini-3.5 Flash-plain,54,2026-06-05T18:30:05.436127+00:00,2026-06-05T18:31:33.455287+00:00,88.019
LLM Google Gemini-3.5 Flash-plain,55,2026-06-05T18:31:33.455287+00:00,2026-06-05T18:32:42.928714+00:00,69.473
LLM Google Gemini-3.5 Flash-plain,56,2026-06-05T18:32:42.928714+00:00,2026-06-05T18:37:06.094733+00:00,263.166
LLM Google Gemini-3.5 Flash-plain,57,2026-06-05T18:37:06.094733+00:00,2026-06-05T18:38:47.576066+00:00,101.481
LLM Google Gemini-3.5 Flash-plain,58,2026-06-05T18:38:47.576066+00:00,2026-06-05T18:39:59.360646+00:00,71.785
LLM Google Gemini-3.5 Flash-plain,59,2026-06-05T18:39:59.360646+00:00,2026-06-05T18:41:15.135381+00:00,75.775
LLM Google Gemini-3.5 Flash-plain,60,2026-06-05T18:41:15.135381+00:00,2026-06-05T18:42:26.402603+00:00,71.267
LLM Google Gemini-3.5 Flash-plain,61,2026-06-05T18:42:26.402603+00:00,2026-06-05T18:43:37.641032+00:00,71.238
LLM Google Gemini-3.5 Flash-weak,1,2026-06-05T09:55:19.760617+00:00,2026-06-05T09:55:19.760617+00:00,0.000
LLM Google Gemini-3.5 Flash-weak,2,2026-06-05T09:55:19.760617+00:00,2026-06-05T09:56:29.556528+00:00,69.796
LLM Google Gemini-3.5 Flash-weak,3,2026-06-05T09:56:29.556528+00:00,2026-06-05T09:57:34.888367+00:00,65.332
LLM Google Gemini-3.5 Flash-weak,4,2026-06-05T09:57:34.888367+00:00,2026-06-05T09:58:37.658566+00:00,62.770
LLM Google Gemini-3.5 Flash-weak,5,2026-06-05T09:58:37.658566+00:00,2026-06-05T09:59:44.829270+00:00,67.171
LLM Google Gemini-3.5 Flash-weak,6,2026-06-05T09:59:44.829270+00:00,2026-06-05T10:01:04.908488+00:00,80.079
LLM Google Gemini-3.5 Flash-weak,7,2026-06-05T10:01:04.908488+00:00,2026-06-05T10:02:20.973940+00:00,76.065
LLM Google Gemini-3.5 Flash-weak,8,2026-06-05T10:02:20.973940+00:00,2026-06-05T10:03:52.949162+00:00,91.975
LLM Google Gemini-3.5 Flash-weak,9,2026-06-05T10:03:52.949162+00:00,2026-06-05T10:05:13.495307+00:00,80.546
LLM Google Gemini-3.5 Flash-weak,10,2026-06-05T10:05:13.495307+00:00,2026-06-05T10:06:56.964668+00:00,103.469
LLM Google Gemini-3.5 Flash-weak,11,2026-06-05T10:06:56.964668+00:00,2026-06-05T18:44:53.249351+00:00,31076.285
LLM Google Gemini-3.5 Flash-weak,12,2026-06-05T18:44:53.249351+00:00,2026-06-05T18:45:58.335380+00:00,65.086
LLM Google Gemini-3.5 Flash-weak,13,2026-06-05T18:45:58.335380+00:00,2026-06-05T18:47:19.167351+00:00,80.832
LLM Google Gemini-3.5 Flash-weak,14,2026-06-05T18:47:19.167351+00:00,2026-06-05T18:48:25.116452+00:00,65.949
LLM Google Gemini-3.5 Flash-weak,15,2026-06-05T18:48:25.116452+00:00,2026-06-05T18:52:47.462764+00:00,262.346
LLM Google Gemini-3.5 Flash-weak,16,2026-06-05T18:52:47.462764+00:00,2026-06-05T18:53:57.464916+00:00,70.002
LLM Google Gemini-3.5 Flash-weak,17,2026-06-05T18:53:57.464916+00:00,2026-06-05T18:55:01.404402+00:00,63.939
LLM Google Gemini-3.5 Flash-weak,18,2026-06-05T18:55:01.404402+00:00,2026-06-05T18:56:10.211128+00:00,68.807
LLM Google Gemini-3.5 Flash-weak,19,2026-06-05T18:56:10.211128+00:00,2026-06-05T18:57:25.781432+00:00,75.570
LLM Google Gemini-3.5 Flash-weak,20,2026-06-05T18:57:25.781432+00:00,2026-06-05T18:58:31.873805+00:00,66.092
LLM Google Gemini-3.5 Flash-weak,21,2026-06-05T18:58:31.873805+00:00,2026-06-05T19:00:14.758235+00:00,102.884
LLM Google Gemini-3.5 Flash-weak,22,2026-06-05T19:00:14.758235+00:00,2026-06-05T19:01:23.464625+00:00,68.706
LLM Google Gemini-3.5 Flash-weak,23,2026-06-05T19:01:23.464625+00:00,2026-06-05T19:02:31.883377+00:00,68.419
LLM Google Gemini-3.5 Flash-weak,24,2026-06-05T19:02:31.883377+00:00,2026-06-05T19:03:42.576781+00:00,70.693
LLM Google Gemini-3.5 Flash-weak,25,2026-06-05T19:03:42.576781+00:00,2026-06-05T19:08:00.515380+00:00,257.939
LLM Google Gemini-3.5 Flash-weak,26,2026-06-05T19:08:00.515380+00:00,2026-06-05T19:09:08.225072+00:00,67.710
LLM Google Gemini-3.5 Flash-weak,27,2026-06-05T19:09:08.225072+00:00,2026-06-05T19:10:22.853095+00:00,74.628
LLM Google Gemini-3.5 Flash-weak,28,2026-06-05T19:10:22.853095+00:00,2026-06-05T19:11:37.196960+00:00,74.344
LLM Google Gemini-3.5 Flash-weak,29,2026-06-05T19:11:37.196960+00:00,2026-06-05T19:12:48.057983+00:00,70.861
LLM Google Gemini-3.5 Flash-weak,30,2026-06-05T19:12:48.057983+00:00,2026-06-05T19:13:59.534742+00:00,71.477
LLM Google Gemini-3.5 Flash-weak,31,2026-06-05T19:13:59.534742+00:00,2026-06-05T19:15:11.932945+00:00,72.398
LLM Google Gemini-3.5 Flash-weak,32,2026-06-05T19:15:11.932945+00:00,2026-06-05T19:16:20.438563+00:00,68.506
LLM Google Gemini-3.5 Flash-weak,33,2026-06-05T19:16:20.438563+00:00,2026-06-05T19:20:44.021953+00:00,263.583
LLM Google Gemini-3.5 Flash-weak,34,2026-06-05T19:20:44.021953+00:00,2026-06-05T19:22:10.551615+00:00,86.530
LLM Google Gemini-3.5 Flash-weak,35,2026-06-05T19:22:10.551615+00:00,2026-06-05T19:23:17.110908+00:00,66.559
LLM Google Gemini-3.5 Flash-weak,36,2026-06-05T19:23:17.110908+00:00,2026-06-05T19:24:25.746578+00:00,68.636
LLM Google Gemini-3.5 Flash-weak,37,2026-06-05T19:24:25.746578+00:00,2026-06-05T19:25:34.722763+00:00,68.976
LLM Google Gemini-3.5 Flash-weak,38,2026-06-05T19:25:34.722763+00:00,2026-06-05T19:26:39.439415+00:00,64.717
LLM Google Gemini-3.5 Flash-weak,39,2026-06-05T19:26:39.439415+00:00,2026-06-05T19:27:45.588393+00:00,66.149
LLM Google Gemini-3.5 Flash-weak,40,2026-06-05T19:27:45.588393+00:00,2026-06-05T19:28:45.799871+00:00,60.211
LLM Google Gemini-3.5 Flash-weak,41,2026-06-05T19:28:45.799871+00:00,2026-06-05T19:29:47.547190+00:00,61.747
LLM Google Gemini-3.5 Flash-weak,42,2026-06-05T19:29:47.547190+00:00,2026-06-05T19:30:48.330848+00:00,60.784
LLM Google Gemini-3.5 Flash-weak,43,2026-06-05T19:30:48.330848+00:00,2026-06-05T19:31:56.368923+00:00,68.038
LLM Google Gemini-3.5 Flash-weak,44,2026-06-05T19:31:56.368923+00:00,2026-06-05T19:33:05.898400+00:00,69.529
LLM Google Gemini-3.5 Flash-weak,45,2026-06-05T19:33:05.898400+00:00,2026-06-05T19:34:07.544188+00:00,61.646
LLM Google Gemini-3.5 Flash-weak,46,2026-06-05T19:34:07.544188+00:00,2026-06-05T19:35:14.517443+00:00,66.973
LLM Google Gemini-3.5 Flash-weak,47,2026-06-05T19:35:14.517443+00:00,2026-06-05T19:36:17.811541+00:00,63.294
LLM Google Gemini-3.5 Flash-weak,48,2026-06-05T19:36:17.811541+00:00,2026-06-05T19:37:38.490635+00:00,80.679
LLM Google Gemini-3.5 Flash-weak,49,2026-06-05T19:37:38.490635+00:00,2026-06-05T19:38:49.045508+00:00,70.555
LLM Google Gemini-3.5 Flash-weak,50,2026-06-05T19:38:49.045508+00:00,2026-06-05T19:39:50.382847+00:00,61.337
LLM Google Gemini-3.5 Flash-weak,51,2026-06-05T19:39:50.382847+00:00,2026-06-05T19:40:55.408537+00:00,65.026
LLM Google Gemini-3.5 Flash-weak,52,2026-06-05T19:40:55.408537+00:00,2026-06-05T19:42:21.631603+00:00,86.223
LLM Google Gemini-3.5 Flash-weak,53,2026-06-05T19:42:21.631603+00:00,2026-06-05T19:43:39.659402+00:00,78.028
LLM Google Gemini-3.5 Flash-weak,54,2026-06-05T19:43:39.659402+00:00,2026-06-05T19:48:15.119307+00:00,275.460
LLM Google Gemini-3.5 Flash-weak,55,2026-06-05T19:48:15.119307+00:00,2026-06-05T19:49:25.469277+00:00,70.350
LLM Google Gemini-3.5 Flash-weak,56,2026-06-05T19:49:25.469277+00:00,2026-06-05T19:50:51.668909+00:00,86.200
LLM Google Gemini-3.5 Flash-weak,57,2026-06-05T19:50:51.668909+00:00,2026-06-05T19:55:05.891237+00:00,254.222
LLM Google Gemini-3.5 Flash-weak,58,2026-06-05T19:55:05.891237+00:00,2026-06-05T19:56:17.102529+00:00,71.211
LLM Google Gemini-3.5 Flash-weak,59,2026-06-05T19:56:17.102529+00:00,2026-06-05T19:57:38.012694+00:00,80.910
LLM Google Gemini-3.5 Flash-weak,60,2026-06-05T19:57:38.012694+00:00,2026-06-05T19:59:00.634423+00:00,82.622
LLM Google Gemini-3.5 Flash-weak,61,2026-06-05T19:59:00.634423+00:00,2026-06-05T20:00:12.316303+00:00,71.682
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,1,2026-05-07T21:47:46.465787+00:00,2026-05-07T21:47:46.465787+00:00,0.000
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,2,2026-05-07T21:47:46.465787+00:00,2026-05-07T21:48:19.940407+00:00,33.475
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,3,2026-05-07T21:48:19.940407+00:00,2026-05-07T21:48:54.392099+00:00,34.452
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,4,2026-05-07T21:48:54.392099+00:00,2026-05-07T21:49:25.827978+00:00,31.436
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,5,2026-05-07T21:49:25.827978+00:00,2026-05-07T21:50:01.566849+00:00,35.739
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,6,2026-05-07T21:50:01.566849+00:00,2026-05-07T21:50:34.652269+00:00,33.085
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,7,2026-05-07T21:50:34.652269+00:00,2026-05-07T21:51:11.961427+00:00,37.309
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,8,2026-05-07T21:51:11.961427+00:00,2026-05-07T21:51:49.296807+00:00,37.335
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,9,2026-05-07T21:51:49.296807+00:00,2026-05-07T21:52:23.801309+00:00,34.505
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,10,2026-05-07T21:52:23.801309+00:00,2026-05-07T21:52:57.904445+00:00,34.103
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,11,2026-05-07T21:52:57.904445+00:00,2026-05-07T21:53:27.527466+00:00,29.623
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,12,2026-05-07T21:53:27.527466+00:00,2026-05-07T21:54:01.391286+00:00,33.864
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,13,2026-05-07T21:54:01.391286+00:00,2026-05-07T21:54:39.949444+00:00,38.558
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,14,2026-05-07T21:54:39.949444+00:00,2026-05-07T21:55:16.765502+00:00,36.816
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,15,2026-05-07T21:55:16.765502+00:00,2026-05-07T21:55:50.711889+00:00,33.946
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,16,2026-05-07T21:55:50.711889+00:00,2026-05-07T21:56:23.525028+00:00,32.813
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,17,2026-05-07T21:56:23.525028+00:00,2026-05-07T21:56:58.136140+00:00,34.611
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,18,2026-05-07T21:56:58.136140+00:00,2026-05-07T21:57:35.202339+00:00,37.066
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,19,2026-05-07T21:57:35.202339+00:00,2026-05-07T21:58:11.330642+00:00,36.128
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,20,2026-05-07T21:58:11.330642+00:00,2026-05-07T21:58:43.508186+00:00,32.178
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,21,2026-05-07T21:58:43.508186+00:00,2026-05-07T21:59:11.927506+00:00,28.419
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,22,2026-05-07T21:59:11.927506+00:00,2026-05-07T21:59:42.228593+00:00,30.301
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,23,2026-05-07T21:59:42.228593+00:00,2026-05-07T22:00:16.690483+00:00,34.462
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,24,2026-05-07T22:00:16.690483+00:00,2026-05-07T22:00:55.297701+00:00,38.607
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,25,2026-05-07T22:00:55.297701+00:00,2026-05-07T22:01:23.793737+00:00,28.496
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,26,2026-05-07T22:01:23.793737+00:00,2026-05-07T22:01:55.438028+00:00,31.644
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,27,2026-05-07T22:01:55.438028+00:00,2026-05-07T22:02:28.525623+00:00,33.088
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,28,2026-05-07T22:02:28.525623+00:00,2026-05-07T22:03:00.550639+00:00,32.025
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,29,2026-05-07T22:03:00.550639+00:00,2026-05-07T22:03:30.131326+00:00,29.581
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,30,2026-05-07T22:03:30.131326+00:00,2026-05-07T22:04:01.462107+00:00,31.331
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,31,2026-05-07T22:04:01.462107+00:00,2026-05-07T22:04:29.927480+00:00,28.465
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,32,2026-05-07T22:04:29.927480+00:00,2026-05-07T22:05:03.744021+00:00,33.817
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,33,2026-05-07T22:05:03.744021+00:00,2026-05-07T22:05:38.027987+00:00,34.284
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,34,2026-05-07T22:05:38.027987+00:00,2026-05-07T22:06:10.283577+00:00,32.256
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,35,2026-05-07T22:06:10.283577+00:00,2026-05-07T22:06:37.004618+00:00,26.721
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,36,2026-05-07T22:06:37.004618+00:00,2026-05-07T22:07:09.576792+00:00,32.572
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,37,2026-05-07T22:07:09.576792+00:00,2026-05-07T22:07:41.829141+00:00,32.252
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,38,2026-05-07T22:07:41.829141+00:00,2026-05-07T22:08:18.398602+00:00,36.569
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,39,2026-05-07T22:08:18.398602+00:00,2026-05-07T22:09:17.777693+00:00,59.379
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,40,2026-05-07T22:09:17.777693+00:00,2026-05-07T22:09:50.957437+00:00,33.180
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,41,2026-05-07T22:09:50.957437+00:00,2026-05-07T22:10:25.762426+00:00,34.805
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,42,2026-05-07T22:10:25.762426+00:00,2026-05-07T22:10:56.722347+00:00,30.960
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,43,2026-05-07T22:10:56.722347+00:00,2026-05-07T22:11:32.011704+00:00,35.289
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,44,2026-05-07T22:11:32.011704+00:00,2026-05-07T22:12:11.677451+00:00,39.666
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,45,2026-05-07T22:12:11.677451+00:00,2026-05-07T22:12:41.319587+00:00,29.642
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,46,2026-05-07T22:12:41.319587+00:00,2026-05-07T22:13:09.879343+00:00,28.560
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,47,2026-05-07T22:13:09.879343+00:00,2026-05-07T22:13:42.587976+00:00,32.709
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,48,2026-05-07T22:13:42.587976+00:00,2026-05-07T22:14:10.470263+00:00,27.882
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,49,2026-05-07T22:14:10.470263+00:00,2026-05-07T22:14:48.130408+00:00,37.660
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,50,2026-05-07T22:14:48.130408+00:00,2026-05-07T22:15:19.481644+00:00,31.351
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,51,2026-05-07T22:15:19.481644+00:00,2026-05-07T22:15:56.556806+00:00,37.075
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,52,2026-05-07T22:15:56.556806+00:00,2026-05-07T22:16:32.579201+00:00,36.022
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,53,2026-05-07T22:16:32.579201+00:00,2026-05-07T22:17:08.108683+00:00,35.529
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,54,2026-05-07T22:17:08.108683+00:00,2026-05-07T22:17:40.535208+00:00,32.427
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,55,2026-05-07T22:17:40.535208+00:00,2026-05-07T22:18:14.575138+00:00,34.040
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,56,2026-05-07T22:18:14.575138+00:00,2026-05-07T22:18:56.650071+00:00,42.075
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,57,2026-05-07T22:18:56.650071+00:00,2026-05-07T22:19:38.449487+00:00,41.799
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,58,2026-05-07T22:19:38.449487+00:00,2026-05-07T22:20:19.471094+00:00,41.022
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,59,2026-05-07T22:20:19.471094+00:00,2026-05-07T22:20:59.567806+00:00,40.097
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,60,2026-05-07T22:20:59.567806+00:00,2026-05-07T22:21:38.676965+00:00,39.109
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,61,2026-05-07T22:21:38.676965+00:00,2026-05-07T22:22:10.884872+00:00,32.208
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,1,2026-05-10T15:14:46.573659+00:00,2026-05-10T15:14:46.573659+00:00,0.000
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,2,2026-05-10T15:14:46.573659+00:00,2026-05-10T15:15:22.250304+00:00,35.677
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,3,2026-05-10T15:15:22.250304+00:00,2026-05-10T15:16:02.951993+00:00,40.702
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,4,2026-05-10T15:16:02.951993+00:00,2026-05-10T15:16:40.897662+00:00,37.946
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,5,2026-05-10T15:16:40.897662+00:00,2026-05-10T15:17:23.882381+00:00,42.985
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,6,2026-05-10T15:17:23.882381+00:00,2026-05-10T15:17:56.862291+00:00,32.980
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,7,2026-05-10T15:17:56.862291+00:00,2026-05-10T15:18:33.059937+00:00,36.198
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,8,2026-05-10T15:18:33.059937+00:00,2026-05-10T15:19:15.215224+00:00,42.155
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,9,2026-05-10T15:19:15.215224+00:00,2026-05-10T15:19:51.531965+00:00,36.317
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,10,2026-05-10T15:19:51.531965+00:00,2026-05-10T15:20:28.227684+00:00,36.696
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,11,2026-05-10T15:20:28.227684+00:00,2026-05-10T15:21:02.555912+00:00,34.328
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,12,2026-05-10T15:21:02.555912+00:00,2026-05-10T15:21:38.031074+00:00,35.475
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,13,2026-05-10T15:21:38.031074+00:00,2026-05-10T15:22:15.560195+00:00,37.529
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,14,2026-05-10T15:22:15.560195+00:00,2026-05-10T15:22:49.470552+00:00,33.910
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,15,2026-05-10T15:22:49.470552+00:00,2026-05-10T15:23:27.274182+00:00,37.804
