model,dataset_id,pages,letters_total,letters_correct,letters_wrong,extra_pred_tokens,accuracy,accuracy_percent
LLM Google Gemini-3.5 Flash-weak,29,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,30,12,51,48,3,0,0.941176,94.12
LLM Google Gemini-3.5 Flash-weak,31,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,32,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,33,12,51,45,6,0,0.882353,88.24
LLM Google Gemini-3.5 Flash-weak,34,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-weak,35,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,36,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,37,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,38,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,39,12,51,49,2,0,0.960784,96.08
LLM Google Gemini-3.5 Flash-weak,40,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,41,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,42,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,43,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-weak,44,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-weak,45,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,46,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,47,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,48,12,51,48,3,0,0.941176,94.12
LLM Google Gemini-3.5 Flash-weak,49,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,50,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,51,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,52,13,54,53,1,0,0.981481,98.15
LLM Google Gemini-3.5 Flash-weak,53,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,54,13,54,45,9,0,0.833333,83.33
LLM Google Gemini-3.5 Flash-weak,55,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,56,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,57,13,54,52,2,0,0.962963,96.30
LLM Google Gemini-3.5 Flash-weak,58,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,59,13,54,53,1,0,0.981481,98.15
LLM Google Gemini-3.5 Flash-weak,60,13,54,53,1,0,0.981481,98.15
LLM Google Gemini-3.5 Flash-weak,61,13,54,54,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,1,12,51,48,3,0,0.941176,94.12
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,2,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,3,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,4,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,5,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,6,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,7,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,8,12,51,47,4,0,0.921569,92.16
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,9,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,10,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,11,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,12,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,13,12,51,46,5,0,0.901961,90.20
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,14,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,15,12,51,45,6,0,0.882353,88.24
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,16,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,17,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,18,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,19,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,20,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,21,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,22,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,23,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,24,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,25,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,26,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,27,12,51,45,6,0,0.882353,88.24
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,28,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,29,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,30,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,31,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,32,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,33,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,34,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,35,12,51,51,0,7,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,36,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,37,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,38,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,39,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,40,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,41,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,42,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,43,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,44,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,45,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,46,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,47,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,48,12,51,48,3,0,0.941176,94.12
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,49,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,50,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,51,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,52,13,54,53,1,0,0.981481,98.15
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,53,13,54,51,3,0,0.944444,94.44
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,54,13,54,46,8,0,0.851852,85.19
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,55,13,54,54,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,56,13,54,49,5,0,0.907407,90.74
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,57,13,54,52,2,0,0.962963,96.30
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,58,13,54,54,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,59,13,54,51,3,0,0.944444,94.44
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,60,13,54,54,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,61,13,54,54,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,1,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,2,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,3,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,4,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,5,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,6,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,7,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,8,12,51,49,2,0,0.960784,96.08
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,9,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,10,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,11,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,12,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,13,12,51,47,4,0,0.921569,92.16
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,14,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,15,12,51,44,7,0,0.862745,86.27
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,16,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,17,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,18,12,51,48,3,0,0.941176,94.12
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,19,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,20,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,21,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,22,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,23,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,24,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,25,12,51,48,3,0,0.941176,94.12
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,26,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,27,12,51,47,4,0,0.921569,92.16
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,28,12,51,50,1,0,0.980392,98.04
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,29,12,51,48,3,0,0.941176,94.12
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,30,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,31,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,32,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,33,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,34,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,35,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,36,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,37,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,38,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,39,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,40,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,41,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,42,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,43,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,44,12,51,51,0,7,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,45,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,46,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,47,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,48,12,51,46,5,0,0.901961,90.20
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,49,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,50,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,51,12,51,51,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,52,13,54,53,1,0,0.981481,98.15
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,53,13,54,53,1,0,0.981481,98.15
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,54,13,54,48,6,0,0.888889,88.89
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,55,13,54,54,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,56,13,54,52,2,0,0.962963,96.30
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,57,13,54,53,1,0,0.981481,98.15
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,58,13,54,54,0,0,1.000000,100.00
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,59,13,54,53,1,0,0.981481,98.15
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,60,13,54,53,1,0,0.981481,98.15
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,61,13,54,54,0,0,1.000000,100.00
LLM OpenRouter OpenAI GPT-5.2-plain,1,12,51,43,8,0,0.843137,84.31
LLM OpenRouter OpenAI GPT-5.2-plain,2,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,3,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,4,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,5,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,6,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,7,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,8,12,51,45,6,0,0.882353,88.24
LLM OpenRouter OpenAI GPT-5.2-plain,9,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,10,12,51,45,6,0,0.882353,88.24
LLM OpenRouter OpenAI GPT-5.2-plain,11,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,12,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,13,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,14,12,51,43,8,0,0.843137,84.31
LLM OpenRouter OpenAI GPT-5.2-plain,15,12,51,41,10,0,0.803922,80.39
LLM OpenRouter OpenAI GPT-5.2-plain,16,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,17,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,18,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,19,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,20,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,21,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,22,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,23,12,51,51,0,0,1.000000,100.00
LLM OpenRouter OpenAI GPT-5.2-plain,24,12,51,45,6,0,0.882353,88.24
LLM OpenRouter OpenAI GPT-5.2-plain,25,12,51,45,6,0,0.882353,88.24
LLM OpenRouter OpenAI GPT-5.2-plain,26,12,51,38,13,0,0.745098,74.51
LLM OpenRouter OpenAI GPT-5.2-plain,27,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,28,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,29,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,30,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,31,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,32,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,33,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,34,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,35,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,36,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,37,12,51,51,0,0,1.000000,100.00
LLM OpenRouter OpenAI GPT-5.2-plain,38,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,39,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,40,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,41,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,42,12,51,51,0,0,1.000000,100.00
LLM OpenRouter OpenAI GPT-5.2-plain,43,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,44,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,45,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,46,12,51,51,0,0,1.000000,100.00
LLM OpenRouter OpenAI GPT-5.2-plain,47,12,51,49,2,0,0.960784,96.08
LLM OpenRouter OpenAI GPT-5.2-plain,48,12,51,47,4,0,0.921569,92.16
LLM OpenRouter OpenAI GPT-5.2-plain,49,12,51,48,3,0,0.941176,94.12
LLM OpenRouter OpenAI GPT-5.2-plain,50,12,51,46,5,0,0.901961,90.20
LLM OpenRouter OpenAI GPT-5.2-plain,51,12,51,50,1,0,0.980392,98.04
LLM OpenRouter OpenAI GPT-5.2-plain,52,13,54,44,10,0,0.814815,81.48
LLM OpenRouter OpenAI GPT-5.2-plain,53,13,54,48,6,0,0.888889,88.89
LLM OpenRouter OpenAI GPT-5.2-plain,54,13,54,48,6,0,0.888889,88.89
LLM OpenRouter OpenAI GPT-5.2-plain,55,13,54,52,2,0,0.962963,96.30
LLM OpenRouter OpenAI GPT-5.2-plain,56,13,54,49,5,0,0.907407,90.74
LLM OpenRouter OpenAI GPT-5.2-plain,57,13,54,52,2,0,0.962963,96.30
LLM OpenRouter OpenAI GPT-5.2-plain,58,13,54,53,1,0,0.981481,98.15
