dataset_id,page_idx,token_idx,gt_token,pred_token,outcome
6,6,0,C,C,correct
6,6,1,F,F,correct
6,6,2,J,J,correct
6,6,3,K,K,correct
6,7,0,A,A,correct
6,7,1,E,E,correct
6,7,2,N,N,correct
6,8,0,A,A,correct
6,8,1,G,G,correct
6,8,2,K,K,correct
6,9,0,A,A,correct
6,9,1,E,E,correct
6,9,2,H,H,correct
6,9,3,L,L,correct
6,9,4,N,N,correct
6,9,5,Q,Q,correct
6,10,0,E,E,correct
6,10,1,A,A,correct
6,10,2,C,C,correct
6,10,3,H,H,correct
6,10,4,H,H,correct
6,10,5,K,K,correct
6,11,0,F,F,correct
6,11,1,E,E,correct
6,11,2,B,B,correct
6,11,3,I,I,correct
7,0,0,H,H,correct
7,0,1,I,I,correct
7,1,0,G,G,correct
7,1,1,F,F,correct
7,1,2,E,E,correct
7,1,3,L,L,correct
7,2,0,P,P,correct
7,2,1,N,N,correct
7,2,2,F,F,correct
7,2,3,L,L,correct
7,3,0,D,D,correct
7,3,1,H,H,correct
7,3,2,J,J,correct
7,3,3,M,M,correct
7,4,0,D,D,correct
7,4,1,G,G,correct
7,4,2,C,C,correct
7,4,3,C,C,correct
7,4,4,K,K,correct
7,4,5,G,G,correct
7,4,6,O,O,correct
7,4,7,S,S,correct
7,4,8,C,C,correct
7,5,0,D,D,correct
7,5,1,F,F,correct
7,6,0,E,E,correct
7,6,1,G,G,correct
7,6,2,L,L,correct
7,6,3,M,M,correct
7,7,0,C,C,correct
7,7,1,G,G,correct
7,7,2,P,P,correct
7,8,0,C,C,correct
7,8,1,I,I,correct
7,8,2,N,N,correct
7,9,0,C,C,correct
7,9,1,G,G,correct
7,9,2,J,J,correct
7,9,3,M,M,correct
7,9,4,P,P,correct
7,9,5,S,S,correct
7,10,0,G,G,correct
7,10,1,F,F,correct
7,10,2,C,C,correct
7,10,3,H,H,correct
7,10,4,H,H,correct
7,10,5,M,M,correct
7,11,0,H,H,correct
7,11,1,G,G,correct
7,11,2,D,D,correct
7,11,3,K,K,correct
8,0,0,H,H,correct
8,0,1,I,I,correct
8,1,0,G,G,correct
8,1,1,F,F,correct
8,1,2,E,E,correct
8,1,3,L,L,correct
8,2,0,F,F,correct
8,2,1,L,L,correct
8,2,2,C,C,correct
8,2,3,C,C,correct
8,3,0,D,D,correct
8,3,1,H,H,correct
8,3,2,J,J,correct
8,3,3,M,M,correct
8,4,0,C,C,correct
8,4,1,G,G,correct
8,4,2,Q,Q,correct
8,4,3,S,S,correct
8,4,4,C,C,correct
8,4,5,G,G,correct
8,4,6,T,T,correct
8,4,7,S,S,correct
8,4,8,C,C,correct
8,5,0,D,D,correct
8,5,1,F,F,correct
8,6,0,E,E,correct
8,6,1,H,H,correct
8,6,2,L,L,correct
8,6,3,M,M,correct
8,7,0,E,A,substitution
8,7,1,F,A,substitution
8,7,2,M,M,correct
8,8,0,C,C,correct
8,8,1,I,I,correct
8,8,2,M,M,correct
8,9,0,C,C,correct
8,9,1,G,G,correct
8,9,2,M,M,correct
8,9,3,N,N,correct
8,9,4,P,P,correct
8,9,5,T,T,correct
8,10,0,G,G,correct
8,10,1,C,C,correct
8,10,2,J,J,correct
8,10,3,J,J,correct
8,10,4,J,J,correct
8,10,5,M,M,correct
8,11,0,H,D,substitution
8,11,1,G,G,correct
8,11,2,D,D,correct
8,11,3,K,U,substitution
9,0,0,H,H,correct
9,0,1,I,I,correct
9,1,0,I,I,correct
9,1,1,H,H,correct
9,1,2,G,G,correct
9,1,3,K,K,correct
9,2,0,R,R,correct
9,2,1,P,P,correct
9,2,2,H,H,correct
9,2,3,N,N,correct
9,3,0,F,F,correct
9,3,1,J,J,correct
9,3,2,L,L,correct
9,3,3,O,O,correct
9,4,0,E,E,correct
9,4,1,I,I,correct
9,4,2,P,P,correct
9,4,3,U,U,correct
9,4,4,E,E,correct
9,4,5,I,I,correct
9,4,6,O,O,correct
9,4,7,U,U,correct
9,4,8,V,V,correct
9,5,0,F,F,correct
9,5,1,H,H,correct
9,6,0,G,G,correct
9,6,1,I,I,correct
9,6,2,N,N,correct
9,6,3,O,O,correct
9,7,0,F,F,correct
9,7,1,I,I,correct
9,7,2,N,N,correct
9,8,0,E,E,correct
9,8,1,K,K,correct
9,8,2,P,P,correct
9,9,0,E,E,correct
9,9,1,J,J,correct
9,9,2,L,L,correct
9,9,3,O,O,correct
9,9,4,R,R,correct
9,9,5,V,V,correct
9,10,0,I,I,correct
9,10,1,E,E,correct
9,10,2,L,L,correct
9,10,3,L,L,correct
9,10,4,L,L,correct
9,10,5,O,O,correct
9,11,0,J,J,correct
9,11,1,I,I,correct
9,11,2,F,F,correct
9,11,3,J,J,correct
10,0,0,H,H,correct
10,0,1,I,I,correct
10,1,0,E,E,correct
10,1,1,D,D,correct
10,1,2,C,C,correct
10,1,3,J,J,correct
10,2,0,N,N,correct
10,2,1,L,L,correct
10,2,2,D,D,correct
10,2,3,J,J,correct
10,3,0,B,B,correct
10,3,1,F,F,correct
10,3,2,H,H,correct
10,3,3,K,K,correct
10,4,0,B,B,correct
10,4,1,E,E,correct
10,4,2,A,A,correct
10,4,3,A,A,correct
10,4,4,I,I,correct
10,4,5,E,E,correct
10,4,6,M,M,correct
10,4,7,Q,Q,correct
10,4,8,A,A,correct
10,5,0,A,A,correct
10,5,1,D,D,correct
10,6,0,C,C,correct
10,6,1,F,F,correct
10,6,2,J,J,correct
10,6,3,K,K,correct
10,7,0,A,A,correct
10,7,1,E,E,correct
10,7,2,L,L,correct
10,8,0,E,E,correct
10,8,1,G,G,correct
10,8,2,K,K,correct
10,9,0,D,B,substitution
10,9,1,E,E,correct
10,9,2,H,H,correct
10,9,3,K,K,correct
10,9,4,N,N,correct
10,9,5,Q,Q,correct
10,10,0,E,E,correct
10,10,1,A,A,correct
10,10,2,H,H,correct
10,10,3,H,H,correct
10,10,4,H,H,correct
10,10,5,K,L,substitution
10,11,0,F,F,correct
10,11,1,E,E,correct
10,11,2,B,B,correct
10,11,3,I,I,correct
11,0,0,H,H,correct
11,0,1,I,I,correct
11,1,0,I,I,correct
11,1,1,H,H,correct
11,1,2,G,G,correct
11,1,3,K,K,correct
11,2,0,R,R,correct
11,2,1,P,P,correct
11,2,2,H,H,correct
11,2,3,N,N,correct
11,3,0,F,F,correct
11,3,1,J,J,correct
11,3,2,N,N,correct
11,3,3,P,P,correct
11,4,0,L,L,correct
11,4,1,I,I,correct
11,4,2,P,P,correct
11,4,3,N,N,correct
11,4,4,E,E,correct
11,4,5,T,T,correct
11,4,6,V,V,correct
11,4,7,U,U,correct
11,4,8,E,E,correct
11,5,0,F,F,correct
11,5,1,G,G,correct
11,6,0,G,G,correct
11,6,1,I,D,substitution
11,6,2,N,M,substitution
11,6,3,O,O,correct
11,7,0,E,E,correct
11,7,1,I,I,correct
11,7,2,N,N,correct
11,8,0,G,G,correct
11,8,1,K,K,correct
11,8,2,P,P,correct
11,9,0,G,G,correct
11,9,1,I,I,correct
11,9,2,N,N,correct
11,9,3,O,O,correct
11,9,4,R,R,correct
11,9,5,U,U,correct
11,10,0,I,I,correct
11,10,1,F,F,correct
11,10,2,L,L,correct
11,10,3,L,L,correct
11,10,4,L,L,correct
11,10,5,O,O,correct
11,11,0,H,H,correct
11,11,1,I,I,correct
11,11,2,L,L,correct
11,11,3,I,I,correct
12,0,0,H,H,correct
12,0,1,I,I,correct
12,1,0,K,K,correct
12,1,1,J,J,correct
12,1,2,I,I,correct
12,1,3,M,M,correct
12,2,0,T,T,correct
12,2,1,R,R,correct
12,2,2,J,J,correct
12,2,3,P,P,correct
12,3,0,H,H,correct
12,3,1,L,L,correct
12,3,2,N,N,correct
12,3,3,Q,Q,correct
12,4,0,R,R,correct
12,4,1,K,K,correct
12,4,2,G,G,correct
12,4,3,G,G,correct
12,4,4,P,P,correct
12,4,5,K,K,correct
12,4,6,S,S,correct
12,4,7,W,W,correct
12,4,8,G,G,correct
12,5,0,G,G,correct
12,5,1,J,J,correct
12,6,0,I,I,correct
12,6,1,L,L,correct
12,6,2,P,P,correct
12,6,3,Q,Q,correct
12,7,0,I,I,correct
12,7,1,J,J,correct
12,7,2,O,O,correct
12,8,0,G,G,correct
12,8,1,M,M,correct
12,8,2,R,R,correct
12,9,0,G,G,correct
12,9,1,K,K,correct
12,9,2,N,N,correct
12,9,3,Q,Q,correct
12,9,4,T,T,correct
12,9,5,W,W,correct
12,10,0,K,K,correct
12,10,1,G,G,correct
12,10,2,N,N,correct
12,10,3,N,N,correct
12,10,4,N,N,correct
12,10,5,Q,Q,correct
12,11,0,L,L,correct
12,11,1,K,K,correct
12,11,2,N,N,correct
12,11,3,O,O,correct
13,0,0,H,H,correct
13,0,1,I,I,correct
13,1,0,K,K,correct
13,1,1,J,J,correct
13,1,2,I,M,substitution
13,1,3,M,M,correct
13,2,0,T,T,correct
13,2,1,R,R,correct
13,2,2,J,J,correct
13,2,3,P,P,correct
13,3,0,G,S,substitution
13,3,1,L,L,correct
13,3,2,O,O,correct
13,3,3,Q,Q,correct
13,4,0,J,J,correct
13,4,1,K,K,correct
13,4,2,G,G,correct
13,4,3,G,G,correct
13,4,4,P,P,correct
13,4,5,K,K,correct
13,4,6,V,V,correct
13,4,7,W,W,correct
13,4,8,S,S,correct
13,5,0,G,S,substitution
13,5,1,J,J,correct
13,6,0,I,I,correct
13,6,1,J,Y,substitution
13,6,2,P,P,correct
13,6,3,Q,Q,correct
13,7,0,I,I,correct
13,7,1,J,J,correct
13,7,2,O,O,correct
13,8,0,G,G,correct
13,8,1,M,M,correct
13,8,2,R,R,correct
13,9,0,G,G,correct
13,9,1,K,K,correct
13,9,2,N,N,correct
13,9,3,Q,Q,correct
13,9,4,T,T,correct
13,9,5,X,X,correct
13,10,0,K,K,correct
13,10,1,S,S,correct
13,10,2,N,N,correct
13,10,3,M,H,substitution
13,10,4,Q,Q,correct
13,10,5,Q,Q,correct
13,11,0,O,O,correct
13,11,1,O,O,correct
13,11,2,N,N,correct
13,11,3,Q,Q,correct
14,0,0,H,H,correct
14,0,1,I,I,correct
14,1,0,I,I,correct
14,1,1,H,H,correct
14,1,2,G,G,correct
14,1,3,K,K,correct
14,2,0,R,R,correct
14,2,1,P,P,correct
14,2,2,H,H,correct
14,2,3,N,N,correct
14,3,0,F,F,correct
14,3,1,J,Z,substitution
14,3,2,N,N,correct
14,3,3,O,O,correct
14,4,0,F,F,correct
14,4,1,I,I,correct
14,4,2,E,E,correct
14,4,3,E,E,correct
14,4,4,W,W,correct
14,4,5,I,I,correct
14,4,6,T,T,correct
14,4,7,U,U,correct
14,4,8,E,E,correct
14,5,0,M,M,correct
14,5,1,I,I,correct
14,6,0,G,G,correct
14,6,1,I,I,correct
14,6,2,N,N,correct
14,6,3,O,O,correct
14,7,0,E,E,correct
14,7,1,I,I,correct
14,7,2,P,P,correct
14,8,0,E,E,correct
14,8,1,K,K,correct
14,8,2,P,P,correct
14,9,0,E,E,correct
14,9,1,I,I,correct
14,9,2,L,L,correct
14,9,3,O,O,correct
14,9,4,R,R,correct
14,9,5,U,U,correct
14,10,0,I,I,correct
14,10,1,F,F,correct
14,10,2,E,E,correct
14,10,3,L,L,correct
14,10,4,L,L,correct
14,10,5,O,O,correct
14,11,0,J,J,correct
14,11,1,I,I,correct
14,11,2,F,F,correct
14,11,3,M,M,correct
15,0,0,H,H,correct
15,0,1,H,H,correct
15,1,0,G,G,correct
15,1,1,F,F,correct
15,1,2,E,E,correct
15,1,3,I,I,correct
15,2,0,P,P,correct
15,2,1,N,N,correct
15,2,2,F,F,correct
15,2,3,L,L,correct
15,3,0,D,D,correct
15,3,1,H,M,substitution
15,3,2,J,M,substitution
15,3,3,N,N,correct
15,4,0,D,D,correct
15,4,1,G,G,correct
15,4,2,C,C,correct
15,4,3,C,C,correct
15,4,4,K,K,correct
15,4,5,G,G,correct
15,4,6,O,O,correct
15,4,7,S,S,correct
15,4,8,C,C,correct
15,5,0,D,D,correct
15,5,1,F,F,correct
15,6,0,C,C,correct
15,6,1,O,M,substitution
15,6,2,L,L,correct
15,6,3,M,M,correct
15,7,0,E,E,correct
15,7,1,F,F,correct
15,7,2,K,K,correct
15,8,0,G,G,correct
15,8,1,I,I,correct
15,8,2,O,O,correct
15,9,0,C,C,correct
15,9,1,G,G,correct
15,9,2,J,J,correct
15,9,3,M,M,correct
15,9,4,P,P,correct
15,9,5,S,S,correct
15,10,0,J,M,substitution
15,10,1,F,F,correct
15,10,2,J,M,substitution
15,10,3,B,M,substitution
15,10,4,M,M,correct
15,10,5,M,M,correct
15,11,0,H,H,correct
15,11,1,K,K,correct
15,11,2,F,F,correct
15,11,3,K,K,correct
16,0,0,H,H,correct
16,0,1,I,I,correct
16,1,0,G,G,correct
16,1,1,F,F,correct
16,1,2,E,E,correct
16,1,3,L,L,correct
16,2,0,P,P,correct
16,2,1,N,N,correct
16,2,2,F,F,correct
16,2,3,L,L,correct
16,3,0,D,D,correct
16,3,1,H,H,correct
16,3,2,J,J,correct
16,3,3,M,M,correct
16,4,0,D,D,correct
16,4,1,G,G,correct
16,4,2,C,C,correct
16,4,3,C,C,correct
16,4,4,L,L,correct
16,4,5,G,G,correct
16,4,6,O,O,correct
16,4,7,S,S,correct
16,4,8,C,C,correct
16,5,0,D,D,correct
16,5,1,F,F,correct
16,6,0,E,E,correct
16,6,1,H,H,correct
16,6,2,L,L,correct
16,6,3,M,M,correct
16,7,0,E,E,correct
16,7,1,F,F,correct
16,7,2,K,K,correct
16,8,0,C,C,correct
16,8,1,J,J,correct
16,8,2,N,N,correct
16,9,0,C,C,correct
16,9,1,G,G,correct
16,9,2,J,J,correct
16,9,3,M,M,correct
16,9,4,N,N,correct
16,9,5,S,S,correct
16,10,0,G,G,correct
16,10,1,C,C,correct
16,10,2,E,E,correct
16,10,3,J,J,correct
16,10,4,J,J,correct
16,10,5,M,M,correct
16,11,0,H,H,correct
16,11,1,G,G,correct
16,11,2,C,C,correct
16,11,3,H,H,correct
17,0,0,H,H,correct
17,0,1,I,I,correct
17,1,0,K,K,correct
17,1,1,J,J,correct
17,1,2,I,I,correct
17,1,3,M,M,correct
17,2,0,T,T,correct
17,2,1,R,R,correct
17,2,2,J,J,correct
17,2,3,P,P,correct
17,3,0,H,H,correct
17,3,1,L,L,correct
17,3,2,P,P,correct
17,3,3,Q,Q,correct
17,4,0,O,O,correct
17,4,1,K,K,correct
17,4,2,R,R,correct
17,4,3,G,G,correct
17,4,4,O,O,correct
17,4,5,K,K,correct
17,4,6,S,S,correct
17,4,7,W,W,correct
17,4,8,G,G,correct
17,5,0,H,H,correct
17,5,1,J,J,correct
17,6,0,I,I,correct
17,6,1,J,J,correct
17,6,2,P,P,correct
17,6,3,K,K,correct
17,7,0,I,I,correct
17,7,1,J,J,correct
17,7,2,O,O,correct
17,8,0,G,G,correct
17,8,1,M,M,correct
17,8,2,R,R,correct
17,9,0,G,G,correct
17,9,1,K,K,correct
17,9,2,N,N,correct
17,9,3,Q,Q,correct
17,9,4,T,T,correct
17,9,5,W,W,correct
17,10,0,K,K,correct
17,10,1,G,G,correct
17,10,2,N,N,correct
17,10,3,L,L,correct
17,10,4,L,L,correct
17,10,5,Q,Q,correct
17,11,0,L,L,correct
17,11,1,K,K,correct
17,11,2,H,H,correct
17,11,3,O,O,correct
18,0,0,H,H,correct
18,0,1,I,T,substitution
18,1,0,E,E,correct
18,1,1,D,D,correct
18,1,2,C,C,correct
18,1,3,G,G,correct
18,2,0,N,N,correct
18,2,1,L,L,correct
18,2,2,D,D,correct
18,2,3,J,J,correct
18,3,0,A,A,correct
18,3,1,F,F,correct
18,3,2,J,J,correct
18,3,3,L,L,correct
18,4,0,I,I,correct
18,4,1,E,E,correct
18,4,2,B,B,correct
18,4,3,A,A,correct
18,4,4,A,A,correct
18,4,5,E,E,correct
18,4,6,M,M,correct
18,4,7,Q,Q,correct
18,4,8,S,S,correct
18,5,0,B,B,correct
18,5,1,D,D,correct
18,6,0,C,C,correct
18,6,1,F,F,correct
18,6,2,J,J,correct
18,6,3,K,K,correct
18,7,0,C,C,correct
18,7,1,D,D,correct
18,7,2,I,I,correct
18,8,0,A,A,correct
18,8,1,G,G,correct
18,8,2,L,L,correct
18,9,0,A,A,correct
18,9,1,E,E,correct
18,9,2,J,J,correct
18,9,3,K,K,correct
18,9,4,N,N,correct
18,9,5,Q,Q,correct
18,10,0,H,D,substitution
18,10,1,B,B,correct
18,10,2,H,H,correct
18,10,3,H,H,correct
18,10,4,K,K,correct
18,10,5,K,K,correct
18,11,0,F,F,correct
18,11,1,E,E,correct
18,11,2,B,B,correct
18,11,3,I,I,correct
19,0,0,H,H,correct
19,0,1,I,I,correct
19,1,0,I,I,correct
19,1,1,H,H,correct
19,1,2,G,G,correct
19,1,3,K,K,correct
19,2,0,R,R,correct
19,2,1,P,P,correct
19,2,2,H,H,correct
19,2,3,N,N,correct
19,3,0,E,E,correct
19,3,1,J,J,correct
19,3,2,L,L,correct
19,3,3,O,O,correct
19,4,0,O,O,correct
19,4,1,H,H,correct
19,4,2,E,E,correct
19,4,3,E,E,correct
19,4,4,M,M,correct
19,4,5,I,I,correct
19,4,6,Q,Q,correct
19,4,7,U,U,correct
19,4,8,E,E,correct
19,5,0,F,F,correct
19,5,1,H,H,correct
19,6,0,G,G,correct
19,6,1,I,I,correct
19,6,2,N,N,correct
19,6,3,P,P,correct
19,7,0,E,E,correct
19,7,1,H,H,correct
19,7,2,M,M,correct
19,8,0,E,E,correct
19,8,1,K,K,correct
19,8,2,O,O,correct
19,9,0,E,E,correct
19,9,1,I,I,correct
19,9,2,N,N,correct
19,9,3,O,O,correct
19,9,4,R,R,correct
19,9,5,U,U,correct
19,10,0,I,I,correct
19,10,1,F,F,correct
19,10,2,H,H,correct
19,10,3,J,J,correct
19,10,4,J,J,correct
19,10,5,O,O,correct
19,11,0,J,J,correct
19,11,1,I,I,correct
19,11,2,F,F,correct
19,11,3,M,M,correct
20,0,0,H,H,correct
20,0,1,I,I,correct
20,1,0,E,E,correct
20,1,1,D,D,correct
20,1,2,C,C,correct
20,1,3,E,E,correct
20,2,0,N,N,correct
20,2,1,L,L,correct
20,2,2,D,O,substitution
20,2,3,J,J,correct
20,3,0,B,B,correct
20,3,1,F,F,correct
20,3,2,H,H,correct
20,3,3,K,K,correct
20,4,0,B,B,correct
20,4,1,E,E,correct
20,4,2,A,A,correct
20,4,3,A,A,correct
20,4,4,I,I,correct
20,4,5,E,E,correct
20,4,6,M,M,correct
20,4,7,Q,Q,correct
20,4,8,A,A,correct
20,5,0,B,B,correct
20,5,1,D,D,correct
20,6,0,C,C,correct
20,6,1,F,F,correct
20,6,2,J,J,correct
20,6,3,K,K,correct
20,7,0,A,A,correct
20,7,1,E,E,correct
20,7,2,N,N,correct
20,8,0,A,A,correct
20,8,1,G,G,correct
20,8,2,L,L,correct
20,9,0,A,A,correct
20,9,1,E,E,correct
20,9,2,H,H,correct
20,9,3,K,K,correct
20,9,4,N,N,correct
20,9,5,Q,Q,correct
20,10,0,E,E,correct
20,10,1,A,A,correct
20,10,2,C,C,correct
20,10,3,H,H,correct
20,10,4,H,H,correct
20,10,5,K,K,correct
20,11,0,F,F,correct
20,11,1,E,E,correct
20,11,2,B,B,correct
20,11,3,I,I,correct
21,0,0,H,H,correct
21,0,1,I,I,correct
21,1,0,I,I,correct
21,1,1,H,H,correct
21,1,2,G,G,correct
21,1,3,K,K,correct
21,2,0,R,R,correct
21,2,1,P,P,correct
21,2,2,H,H,correct
21,2,3,N,N,correct
21,3,0,F,F,correct
21,3,1,J,J,correct
21,3,2,M,M,correct
21,3,3,O,O,correct
21,4,0,I,I,correct
21,4,1,P,P,correct
21,4,2,E,E,correct
21,4,3,E,E,correct
21,4,4,P,P,correct
21,4,5,J,J,correct
21,4,6,T,T,correct
21,4,7,U,U,correct
21,4,8,W,W,correct
21,5,0,M,M,correct
21,5,1,H,H,correct
21,6,0,G,G,correct
21,6,1,I,I,correct
21,6,2,N,N,correct
21,6,3,O,O,correct
21,7,0,F,F,correct
21,7,1,I,I,correct
21,7,2,R,R,correct
21,8,0,E,E,correct
21,8,1,K,K,correct
21,8,2,P,P,correct
21,9,0,E,E,correct
21,9,1,I,I,correct
21,9,2,L,L,correct
21,9,3,O,O,correct
21,9,4,R,R,correct
21,9,5,U,U,correct
21,10,0,I,I,correct
21,10,1,F,F,correct
21,10,2,G,G,correct
21,10,3,I,I,correct
